id,symbol,side,pattern,signal,setup,aoi_kind,trend,entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,planned_rr,entry_cash,entry_equity,margin,notional,pnl,pnl_pct,account_pct,margin_return_pct,exit_reason,score
78,EURUSD=X,short,alexg5|EURUSD|JPY>GBP|bearish|continuation|support|momentum|JPY:+0.0071|CHF:+0.0019|AUD:+0.0008|USD:-0.0009|g:2763:1.08307159:1.08441722:1.08038032,momentum,continuation,support,bearish,2764,2765,2024-02-29 08:00:00+00:00,2024-02-29 09:00:00+00:00,1.0844172239303589,1.0846341073751449,1.0846341073751449,1.0834894447498855,4.2778,1216.6038,1216.6038,12.166,60830.1876,-12.166,-0.0001999999999999217,-0.01,-1.0,margin_stop,4.277777777777778
79,GBPUSD=X,short,alexg5|GBPUSD|JPY>CHF|bearish|continuation|support|momentum|JPY:+0.0072|AUD:+0.0012|USD:+0.0008|CAD:+0.0000|g:2772:1.26318455:1.26576686:1.25801992,momentum,continuation,support,bearish,2797,2798,2024-03-01 17:00:00+00:00,2024-03-01 18:00:00+00:00,1.2657668590545654,1.2660200124263763,1.2660200124263763,1.2646698611100518,4.3333,1204.4377,1204.4377,12.0444,60221.8857,-12.0444,-0.00019999999999996266,-0.01,-1.0,margin_stop,4.333333333333333
80,GBPJPY=X,short,alexg5|GBPJPY|AUD>USD|bearish|continuation|support|bearish_engulfing|AUD:+0.0081|NZD:+0.0073|CHF:+0.0055|CAD:+0.0051|g:2901:189.32699585:189.68632101:188.22599792,bearish_engulfing,continuation,support,bearish,2902,2903,2024-03-08 01:00:00+00:00,2024-03-08 02:00:00+00:00,189.68632101440429,189.5198185770695,189.72425827860715,189.5198185770695,4.3889,1192.3933,1192.3933,11.9239,59619.6669,52.3328,0.0008777777777774244,0.04388888888887122,4.388888888887122,take_profit,4.388888888888889
81,AUDUSD=X,short,alexg5|AUDUSD|EUR>JPY|bearish|continuation|support|momentum|EUR:+0.0017|USD:+0.0010|CHF:+0.0006|CAD:+0.0004|g:2984:0.66122699:0.66273746:0.65323609,momentum,continuation,support,bearish,2991,2992,2024-03-12 12:00:00+00:00,2024-03-12 13:00:00+00:00,0.6627374618053437,0.6621793671006656,0.6628700092977047,0.6621793671006656,4.2105,1244.7262,1244.7262,12.4473,62236.3078,52.4095,0.000842105263157688,0.042105263157884404,4.2105263157884405,take_profit,4.2105263157894735
82,GBPJPY=X,short,alexg5|GBPJPY|USD>NZD|bearish|continuation|support|momentum|USD:+0.0065|JPY:+0.0000|GBP:-0.0014|EUR:-0.0036|g:3022:188.99099731:189.37349701:188.22599792,momentum,continuation,support,bearish,3028,3029,2024-03-15 08:00:00+00:00,2024-03-15 09:00:00+00:00,189.37349700927734,189.41137170867918,189.41137170867918,189.2201044766999,4.05,1297.1357,1297.1357,12.9714,64856.7839,-12.9714,-0.00019999999999991813,-0.01,-1.0,margin_stop,4.05
83,GBPJPY=X,long,alexg5|GBPJPY|EUR>NZD|bullish|continuation|resistance|momentum|EUR:+0.0030|USD:+0.0024|GBP:+0.0007|CHF:+0.0005|g:3042:190.03900146:189.71549988:190.68600464,momentum,continuation,resistance,bullish,3044,3047,2024-03-18 02:00:00+00:00,2024-03-18 05:00:00+00:00,189.7154998779297,189.87106658782963,189.6775567779541,189.87106658782963,4.1,1284.1643,1284.1643,12.8416,64208.2161,52.6507,0.0008200000000002174,0.04100000000001087,4.100000000001087,take_profit,4.1000000000000005
84,USDJPY=X,short,alexg5|USDJPY|JPY>CAD|bearish|continuation|support|momentum|JPY:+0.0037|CHF:+0.0022|USD:+0.0006|AUD:+0.0001|g:3145:151.21200562:151.52421310:150.25900269,momentum,continuation,support,bearish,3156,3160,2024-03-25 16:00:00+00:00,2024-03-25 20:00:00+00:00,151.52421310424805,151.40443682150854,151.55451794686888,151.40443682150854,3.9524,1336.8151,1336.8151,13.3682,66840.7529,52.836,0.0007904761904759243,0.039523809523796215,3.9523809523796216,take_profit,3.9523809523809526
85,AUDUSD=X,short,alexg5|AUDUSD|CHF>NZD|bearish|continuation|support|bearish_engulfing|CHF:+0.0034|CAD:+0.0029|JPY:+0.0019|USD:+0.0007|g:3291:0.65164834:0.65272068:0.64860940,bearish_engulfing,continuation,support,bearish,3301,3302,2024-03-29 12:00:00+00:00,2024-03-29 13:00:00+00:00,0.6527206805348397,0.6528512246709466,0.6528512246709466,0.652222239287886,3.8182,1389.6511,1389.6511,13.8965,69482.5541,-13.8965,-0.00019999999999991696,-0.01,-1.0,margin_stop,3.818181818181818
86,USDCHF=X,short,alexg5|USDCHF|AUD>JPY|bearish|continuation|support|momentum|AUD:+0.0021|NZD:+0.0016|CAD:+0.0009|GBP:+0.0009|g:3274:0.90158999:0.90338160:0.89687997,momentum,continuation,support,bearish,3284,3285,2024-04-01 13:00:00+00:00,2024-04-01 14:00:00+00:00,0.9033815962076187,0.9035622725268602,0.9035622725268602,0.9026835286105495,3.8636,1375.7546,1375.7546,13.7575,68787.7286,-13.7575,-0.00019999999999992647,-0.01,-1.0,margin_stop,3.8636363636363633
87,USDCAD=X,long,alexg5|USDCAD|USD>CHF|bullish|bounce|support|rejection|USD:+0.0038|JPY:+0.0008|GBP:-0.0020|EUR:-0.0021|g:3342:1.35613000:1.35374391:1.36140001,rejection,bounce,support,bullish,3371,3372,2024-04-03 14:00:00+00:00,2024-04-03 15:00:00+00:00,1.3537439056634903,1.3534731568823577,1.3534731568823577,1.3548022872624634,3.9091,1361.997,1361.997,13.62,68099.8513,-13.62,-0.00019999999999996147,-0.01,-1.0,margin_stop,3.9090909090909087
