time,time_unix,index,symbol,action,trend,setup,aoi_kind,signal,signal_label,currency_bias,strength,pattern,stop_loss,take_profit,price,price_fmt
2026-04-30T14:00:00+00:00,1777557600,16117,EURUSD=X,sell,bearish,continuation,support,momentum,Momentum candle,JPY>EUR,g:16114:1.17082310:1.17253160:1.16740608,alexg5|EURUSD|JPY>EUR|bearish|continuation|support|momentum|JPY:+0.0211|CHF:+0.0055|NZD:+0.0017|CAD:+0.0015|g:16114:1.17082310:1.17253160:1.16740608,1.1742401123046875,1.169114589691162,1.1725316047668457,1.17253
2026-05-05T06:00:00+00:00,1777960800,16266,NZDUSD=X,sell,bearish,continuation,support,momentum,Momentum candle,USD>NZD,g:16260:0.58654463:0.58760726:0.58441937,alexg5|NZDUSD|USD>NZD|bearish|continuation|support|momentum|USD:+0.0044|JPY:+0.0012|EUR:-0.0017|GBP:-0.0026|g:16260:0.58654463:0.58760726:0.58441937,0.5886698961257935,0.5854820013046265,0.5876072645187378,0.58761
2026-05-06T04:00:00+00:00,1778040000,16105,USDJPY=X,buy,bullish,continuation,resistance,momentum,Momentum candle,NZD>JPY,g:16093:157.78300476:157.16822102:159.83999634,alexg5|USDJPY|NZD>JPY|bullish|continuation|resistance|momentum|NZD:+0.0044|AUD:+0.0040|GBP:+0.0033|CHF:+0.0023|g:16093:157.78300476:157.16822102:159.83999634,156.55343728637695,159.225212600708,157.16822102355957,157.168
2026-05-07T17:00:00+00:00,1778173200,16236,GBPUSD=X,buy,bullish,bounce,support,bullish_engulfing,Bullish engulfing,JPY>USD,g:16220:1.36056268:1.35799849:1.36569107,alexg5|GBPUSD|JPY>USD|bullish|bounce|support|bullish_engulfing|JPY:+0.0076|NZD:+0.0061|CHF:+0.0041|AUD:+0.0022|g:16220:1.36056268:1.35799849:1.36569107,1.3554342985153198,1.3631268739700317,1.3579984903335571,1.35800
2026-05-07T17:00:00+00:00,1778173200,16325,NZDUSD=X,buy,bullish,bounce,support,bullish_engulfing,Bullish engulfing,JPY>USD,g:16309:0.59648079:0.59514061:0.59916115,alexg5|NZDUSD|JPY>USD|bullish|bounce|support|bullish_engulfing|JPY:+0.0076|NZD:+0.0061|CHF:+0.0041|AUD:+0.0022|g:16309:0.59648079:0.59514061:0.59916115,0.59380042552948,0.5978209674358368,0.5951406061649323,0.59514
2026-05-11T21:00:00+00:00,1778533200,16293,GBPJPY=X,buy,bullish,continuation,resistance,momentum,Momentum candle,GBP>JPY,g:16287:214.35499573:213.82864427:215.84700012,alexg5|GBPJPY|GBP>JPY|bullish|continuation|resistance|momentum|GBP:+0.0025|AUD:+0.0019|CAD:+0.0019|NZD:+0.0018|g:16287:214.35499573:213.82864427:215.84700012,213.3022928161621,215.32064866638183,213.82864427185058,213.829
2026-05-12T05:00:00+00:00,1778562000,16293,EURUSD=X,buy,bullish,continuation,resistance,momentum,Momentum candle,CHF>JPY,g:16270:1.17716300:1.17577404:1.17994094,alexg5|EURUSD|CHF>JPY|bullish|continuation|resistance|momentum|CHF:+0.0027|AUD:+0.0024|EUR:+0.0024|GBP:+0.0013|g:16270:1.17716300:1.17577404:1.17994094,1.1743850708007812,1.178551971912384,1.1757740378379822,1.17577
2026-05-12T05:00:00+00:00,1778562000,16200,USDJPY=X,buy,bullish,continuation,resistance,momentum,Momentum candle,EUR>JPY,g:16195:157.41999817:157.07158391:160.47799683,alexg5|USDJPY|EUR>JPY|bullish|continuation|resistance|momentum|EUR:+0.0009|USD:+0.0009|GBP:+0.0007|NZD:-0.0001|g:16195:157.41999817:157.07158391:160.47799683,156.72316964721682,160.12958256530763,157.07158390808107,157.072
2026-05-13T06:00:00+00:00,1778652000,16344,EURGBP=X,buy,bullish,bounce,support,rejection,Wick rejection,USD>CHF,g:16337:0.86694998:0.86588305:0.86974001,alexg5|EURGBP|USD>CHF|bullish|bounce|support|rejection|USD:+0.0027|JPY:+0.0002|EUR:-0.0011|AUD:-0.0012|g:16337:0.86694998:0.86588305:0.86974001,0.8648161283731461,0.8686730857491494,0.8658830519318581,0.86588
2026-05-22T09:00:00+00:00,1779440400,16588,AUDUSD=X,buy,bullish,bounce,support,rejection,Wick rejection,AUD>CAD,g:16586:0.71362311:0.71321526:0.71443880,alexg5|AUDUSD|AUD>CAD|bullish|bounce|support|rejection|AUD:+0.0021|CHF:+0.0017|NZD:+0.0007|EUR:+0.0005|g:16586:0.71362311:0.71321526:0.71443880,0.7128074169158936,0.7140309512615204,0.7132152616977692,0.71322
2026-05-22T13:00:00+00:00,1779454800,16500,GBPJPY=X,sell,bearish,bounce,resistance,rejection,Wick rejection,CHF>CAD,g:16497:213.57499695:213.91956865:212.86300659,alexg5|GBPJPY|CHF>CAD|bearish|bounce|resistance|rejection|CHF:+0.0016|USD:+0.0004|JPY:+0.0004|GBP:+0.0001|g:16497:213.57499695:213.91956865:212.86300659,214.2641403503418,213.20757829284668,213.919568649292,213.920
2026-05-26T07:00:00+00:00,1779778800,16438,USDJPY=X,sell,bearish,continuation,support,momentum,Momentum candle,CHF>USD,g:16415:158.90800476:159.15190422:158.28399658,alexg5|USDJPY|CHF>USD|bearish|continuation|support|momentum|CHF:+0.0063|AUD:+0.0047|GBP:+0.0037|NZD:+0.0015|g:16415:158.90800476:159.15190422:158.28399658,159.39580368041993,158.52789604187012,159.15190422058106,159.152
2026-05-29T08:00:00+00:00,1780041600,16554,USDCHF=X,sell,bearish,continuation,support,momentum,Momentum candle,NZD>USD,g:16552:0.78328001:0.78454003:0.78075999,alexg5|USDCHF|NZD>USD|bearish|continuation|support|momentum|NZD:+0.0122|AUD:+0.0057|CHF:+0.0056|CAD:+0.0042|g:16552:0.78328001:0.78454003:0.78075999,0.785800039768219,0.7820200026035309,0.7845400273799896,0.78454
2026-06-01T09:00:00+00:00,1780304400,16577,USDCHF=X,sell,bearish,bounce,resistance,rejection,Wick rejection,GBP>JPY,g:16576:0.78307003:0.78422505:0.78075999,alexg5|USDCHF|GBP>JPY|bearish|bounce|resistance|rejection|GBP:+0.0033|AUD:+0.0032|NZD:+0.0008|EUR:+0.0007|g:16576:0.78307003:0.78422505:0.78075999,0.7853800654411316,0.781915009021759,0.7842250466346741,0.78423
2026-06-01T15:00:00+00:00,1780326000,16736,AUDUSD=X,sell,bearish,continuation,support,momentum,Momentum candle,USD>NZD,g:16734:0.71433675:0.71550655:0.71199715,alexg5|AUDUSD|USD>NZD|bearish|continuation|support|momentum|USD:+0.0045|GBP:+0.0007|JPY:-0.0013|CAD:-0.0018|g:16734:0.71433675:0.71550655:0.71199715,0.7166763544082642,0.7131669521331787,0.7155065536499023,0.71551
2026-06-09T16:00:00+00:00,1781020800,16780,EURUSD=X,buy,bullish,continuation,resistance,momentum,Momentum candle,NZD>JPY,g:16773:1.15647042:1.15344542:1.16252041,alexg5|EURUSD|NZD>JPY|bullish|continuation|resistance|momentum|NZD:+0.0036|GBP:+0.0035|EUR:+0.0031|CHF:+0.0020|g:16773:1.15647042:1.15344542:1.16252041,1.1504204273223877,1.1594954133033752,1.1534454226493835,1.15345
2026-06-11T08:00:00+00:00,1781164800,16828,GBPJPY=X,buy,bullish,bounce,support,bullish_engulfing,Bullish engulfing,CHF>NZD,g:16824:214.80999756:214.55649567:215.31700134,alexg5|GBPJPY|CHF>NZD|bullish|bounce|support|bullish_engulfing|CHF:+0.0010|CAD:+0.0007|EUR:+0.0004|USD:+0.0004|g:16824:214.80999756:214.55649567:215.31700134,214.30299377441406,215.0634994506836,214.5564956665039,214.556
2026-06-16T10:00:00+00:00,1781604000,16993,AUDUSD=X,sell,bearish,continuation,support,momentum,Momentum candle,USD>NZD,g:16984:0.70641428:0.70780605:0.70363075,alexg5|AUDUSD|USD>NZD|bearish|continuation|support|momentum|USD:+0.0017|JPY:+0.0014|EUR:-0.0002|CHF:-0.0003|g:16984:0.70641428:0.70780605:0.70363075,0.7091978192329407,0.7050225138664246,0.7078060507774353,0.70781
2026-06-17T14:00:00+00:00,1781704800,17012,NZDUSD=X,sell,bearish,continuation,support,momentum,Momentum candle,CHF>NZD,g:17009:0.58105755:0.58211169:0.57893819,alexg5|NZDUSD|CHF>NZD|bearish|continuation|support|momentum|CHF:+0.0029|JPY:+0.0008|USD:+0.0004|CAD:-0.0002|g:17009:0.58105755:0.58211169:0.57893819,0.5831658277511598,0.5799923257827759,0.5821116881370545,0.58211
2026-06-30T11:00:00+00:00,1782817200,17134,GBPUSD=X,buy,bullish,bounce,support,bullish_engulfing,Bullish engulfing,GBP>CAD,g:17132:1.32371438:1.32288104:1.32538104,alexg5|GBPUSD|GBP>CAD|bullish|bounce|support|bullish_engulfing|GBP:+0.0025|USD:+0.0010|NZD:+0.0009|EUR:-0.0001|g:17132:1.32371438:1.32288104:1.32538104,1.3220477104187012,1.3245477080345154,1.322881042957306,1.32288
2026-07-01T13:00:00+00:00,1782910800,17158,EURUSD=X,sell,bearish,continuation,support,momentum,Momentum candle,GBP>CHF,g:17157:1.13752699:1.13984662:1.13288772,alexg5|EURUSD|GBP>CHF|bearish|continuation|support|momentum|GBP:+0.0030|AUD:+0.0010|NZD:+0.0006|USD:+0.0006|g:17157:1.13752699:1.13984662:1.13288772,1.142166256904602,1.1352073550224304,1.1398466229438782,1.13985
