ghost_sl_mult,trades,wins,losses,win_rate,return_pct,final_equity,max_dd_pct,profit_factor,elapsed_sec
0.1,9233,2354,6879,0.254955,41165984.441575,41165985441.57,1.0,1.521187,4707.6
0.25,8419,2146,6273,0.2549,6375718.922651,6375719922.65,1.0,1.449225,4330.7
0.5,7224,1811,5413,0.250692,269401.038371,269402038.37,1.0,1.237414,3212.2
0.75,6300,1592,4708,0.252698,98503.351249,98504351.25,1.0,1.139145,3143.6
1.0,5468,1360,4108,0.24872,57085.136892,57086136.89,1.0,1.131553,3069.4
1.5,4360,1069,3291,0.245183,5452.86276,5453862.76,1.0,1.261354,2953.0
2.0,3484,828,2656,0.237658,43520.409037,43521409.04,1.0,1.408464,2843.9
2.5,2908,738,2170,0.253783,269.306784,270306.78,1.0,1.284039,2761.1
3.0,2480,657,1823,0.264919,924.859979,925859.98,1.0,1.272504,2651.5
